month,level_1,value
1971-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-10,All Items Less Accommodation,na
1971-10,MAS Core Inflation Measure,na
1971-11,All Items,27.83
1971-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-11,All Items Less Accommodation,na
1971-11,MAS Core Inflation Measure,na
1971-12,All Items,28.083
1971-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1971-12,All Items Less Accommodation,na
1971-12,MAS Core Inflation Measure,na
1972-01,All Items,28.12
1972-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-01,All Items Less Accommodation,na
1972-01,MAS Core Inflation Measure,na
1972-02,All Items,28.11
1972-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-02,All Items Less Accommodation,na
1972-02,MAS Core Inflation Measure,na
1972-03,All Items,28.057
1972-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-03,All Items Less Accommodation,na
1972-03,MAS Core Inflation Measure,na
1972-04,All Items,27.733
1972-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-04,All Items Less Accommodation,na
1972-04,MAS Core Inflation Measure,na
1972-05,All Items,27.842
1972-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-05,All Items Less Accommodation,na
1972-05,MAS Core Inflation Measure,na
1972-06,All Items,27.94
1972-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-06,All Items Less Accommodation,na
1972-06,MAS Core Inflation Measure,na
1972-07,All Items,28.109
1972-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-07,All Items Less Accommodation,na
1972-07,MAS Core Inflation Measure,na
1972-08,All Items,28.357
1972-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-08,All Items Less Accommodation,na
1972-08,MAS Core Inflation Measure,na
1972-09,All Items,28.558
1972-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-09,All Items Less Accommodation,na
1972-09,MAS Core Inflation Measure,na
1972-10,All Items,28.514
1972-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-10,All Items Less Accommodation,na
1972-10,MAS Core Inflation Measure,na
1972-11,All Items,28.792
1972-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-11,All Items Less Accommodation,na
1972-11,MAS Core Inflation Measure,na
1972-12,All Items,29.732
1972-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1972-12,All Items Less Accommodation,na
1972-12,MAS Core Inflation Measure,na
1973-01,All Items,29.645
1973-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-01,All Items Less Accommodation,na
1973-01,MAS Core Inflation Measure,na
1973-02,All Items,30.669
1973-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-02,All Items Less Accommodation,na
1973-02,MAS Core Inflation Measure,na
1973-03,All Items,30.788
1973-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-03,All Items Less Accommodation,na
1973-03,MAS Core Inflation Measure,na
1973-04,All Items,30.988
1973-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-04,All Items Less Accommodation,na
1973-04,MAS Core Inflation Measure,na
1973-05,All Items,32.365
1973-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-05,All Items Less Accommodation,na
1973-05,MAS Core Inflation Measure,na
1973-06,All Items,33.45
1973-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-06,All Items Less Accommodation,na
1973-06,MAS Core Inflation Measure,na
1973-07,All Items,35.04
1973-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-07,All Items Less Accommodation,na
1973-07,MAS Core Inflation Measure,na
1973-08,All Items,35.438
1973-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-08,All Items Less Accommodation,na
1973-08,MAS Core Inflation Measure,na
1973-09,All Items,35.446
1973-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-09,All Items Less Accommodation,na
1973-09,MAS Core Inflation Measure,na
1973-10,All Items,36.653
1973-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-10,All Items Less Accommodation,na
1973-10,MAS Core Inflation Measure,na
1973-11,All Items,38.23
1973-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-11,All Items Less Accommodation,na
1973-11,MAS Core Inflation Measure,na
1973-12,All Items,37.825
1973-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1973-12,All Items Less Accommodation,na
1973-12,MAS Core Inflation Measure,na
1974-01,All Items,39.472
1974-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-01,All Items Less Accommodation,na
1974-01,MAS Core Inflation Measure,na
1974-02,All Items,40.63
1974-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-02,All Items Less Accommodation,na
1974-02,MAS Core Inflation Measure,na
1974-03,All Items,41.339
1974-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-03,All Items Less Accommodation,na
1974-03,MAS Core Inflation Measure,na
1974-04,All Items,40.878
1974-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-04,All Items Less Accommodation,na
1974-04,MAS Core Inflation Measure,na
1974-05,All Items,40.906
1974-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-05,All Items Less Accommodation,na
1974-05,MAS Core Inflation Measure,na
1974-06,All Items,41.063
1974-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-06,All Items Less Accommodation,na
1974-06,MAS Core Inflation Measure,na
1974-07,All Items,41.384
1974-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-07,All Items Less Accommodation,na
1974-07,MAS Core Inflation Measure,na
1974-08,All Items,41.665
1974-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1974-08,All Items Less Accommodation,na
1974-08,MAS Core Inflation Measure,na
1974-09,All Items,42.109
