,full_address,latitude,longitude
102,536 BEDOK NTH ST 3 Singapore,1.3334447,103.9229638
103,517 BEDOK NTH AVE 2 Singapore,1.3310677,103.9291271
104,34 BEDOK STH AVE 2 Singapore,1.3219812,103.9380553
105,6 BEDOK STH AVE 2 Singapore,1.3221825,103.9348375
106,37 BEDOK STH AVE 2 Singapore,1.321934,103.9399136
107,35 BEDOK STH AVE 2 Singapore,1.3223734,103.9398229
108,724 BEDOK RESERVOIR RD Singapore,1.3371453,103.928402
109,523 BEDOK NTH ST 3 Singapore,1.3343597,103.9305252
110,65 NEW UPP CHANGI RD Singapore,1.3247143,103.9398229
111,132 BEDOK NTH ST 2 Singapore,1.3277314,103.936741
112,62 NEW UPP CHANGI RD Singapore,1.3233233,103.9400042
113,428 BEDOK NTH RD Singapore,1.3295047,103.9273597
114,772 BEDOK RESERVOIR VIEW Singapore,1.3365053,103.9378287
115,774 BEDOK RESERVOIR VIEW Singapore,1.3365111,103.9368316
116,768 BEDOK RESERVOIR VIEW Singapore,1.3357025,103.9374662
117,180 BEDOK NTH RD Singapore,1.3267569,103.94082
118,611 BEDOK RESERVOIR RD Singapore,1.331039,103.9150335
119,602 BEDOK RESERVOIR RD Singapore,1.3293395,103.9115443
120,101 BEDOK RESERVOIR RD Singapore,1.3284164,103.909845
121,506 BEDOK NTH AVE 3 Singapore,1.3322117,103.9337498
122,99 BEDOK NTH AVE 4 Singapore,1.3338248,103.9395057
123,553 BEDOK NTH AVE 1 Singapore,1.331514,103.9278582
124,804 CHAI CHEE RD Singapore,1.3245967,103.9220574
125,659 JLN TENAGA Singapore,1.3341268,103.9061973
126,405 BEDOK NTH AVE 3 Singapore,1.3286977,103.9341123
127,172 BEDOK STH RD Singapore,1.3206272,103.9445819
128,406 BEDOK NTH AVE 3 Singapore,1.3281103,103.9344749
129,55 NEW UPP CHANGI RD Singapore,1.3251402,103.9420891
130,66 BEDOK STH AVE 3 Singapore,1.3184371,103.9438567
131,103 LENGKONG TIGA Singapore,1.3259058,103.910638
132,67 BEDOK STH AVE 3 Singapore,1.3189112,103.9440834
133,114 BEDOK RESERVOIR RD Singapore,1.3305197,103.909913
134,10D BEDOK STH AVE 2 Singapore,1.322012,103.936258
135,629 BEDOK RESERVOIR RD Singapore,1.3345915,103.9144444
136,104 LENGKONG TIGA Singapore,1.3259105,103.9098223
137,308 SHUNFU RD Singapore,1.3515149,103.8379898
138,271 BISHAN ST 24 Singapore,1.3562374,103.8428659
139,107 BISHAN ST 12 Singapore,1.3463946,103.8480291
140,239 BISHAN ST 22 Singapore,1.360475,103.8446775
141,264 BISHAN ST 24 Singapore,1.3583667,103.8419601
142,177 BISHAN ST 13 Singapore,1.3477901,103.8536003
143,281 BISHAN ST 24 Singapore,1.3572528,103.8445869
144,113 BISHAN ST 12 Singapore,1.3472701,103.8485727
145,227 BISHAN ST 23 Singapore,1.358042,103.8473951
146,167 BISHAN ST 13 Singapore,1.3479618,103.8555479
147,112 BISHAN ST 12 Singapore,1.3468292,103.8488444
148,251 BISHAN ST 22 Singapore,1.361795,103.8444058
149,302 SHUNFU RD Singapore,1.3496134,103.8390841
150,289 BISHAN ST 24 Singapore,1.3566652,103.8448587
151,248 BISHAN ST 22 Singapore,1.3615089,103.8432282
152,310 SHUNFU RD Singapore,1.3509026,103.8384743
153,447 BRIGHT HILL DR Singapore,1.3581817,103.8317403
154,217 BISHAN ST 23 Singapore,1.3566936,103.8494106
155,128 BISHAN ST 12 Singapore,1.3459416,103.8503844
156,183 BISHAN ST 13 Singapore,1.3504693,103.8524679
157,192 BISHAN ST 13 Singapore,1.348991,103.851182
158,212 BISHAN ST 23 Singapore,1.3565735,103.8480291
159,201 BISHAN ST 23 Singapore,1.3553343,103.8470327
160,450 SIN MING AVE Singapore,1.358416,103.8303888
161,525 BT BATOK ST 52 Singapore,1.3570573,103.7522238
162,501 BT BATOK ST 52 Singapore,1.3514731,103.75503
163,410 BT BATOK WEST AVE 4 Singapore,1.364427,103.7449823
164,408 BT BATOK WEST AVE 4 Singapore,1.3647934,103.7449823
165,423 BT BATOK WEST AVE 2 Singapore,1.3620836,103.7447108
166,272 BT BATOK EAST AVE 4 Singapore,1.3488197,103.7578362
167,229 BT BATOK EAST AVE 3 Singapore,1.3483262,103.7544869
168,217 BT BATOK ST 21 Singapore,1.3467874,103.7545774
169,421 BT BATOK WEST AVE 2 Singapore,1.3624494,103.7448013
170,407 BT BATOK WEST AVE 4 Singapore,1.3647887,103.745797
171,240 BT BATOK EAST AVE 5 Singapore,1.350527,103.7539437
172,179 BT BATOK WEST AVE 8 Singapore,1.3457599,103.7421764
173,414 BT BATOK WEST AVE 4 Singapore,1.3635418,103.745978
174,269 BT BATOK EAST AVE 4 Singapore,1.3485916,103.7592846
175,152 BT BATOK ST 11 Singapore,1.3481986,103.7442592
176,146 BT BATOK WEST AVE 6 Singapore,1.3496315,103.7440772
177,533 BT BATOK ST 51 Singapore,1.3558992,103.7497798
178,157 BT BATOK ST 11 Singapore,1.3483677,103.743412
179,540 BT BATOK ST 52 Singapore,1.3544255,103.7512281
180,239 BT BATOK EAST AVE 5 Singapore,1.3503004,103.7551205
181,249 BT BATOK EAST AVE 5 Singapore,1.3506594,103.7563879
182,316 BT BATOK ST 32 Singapore,1.3606049,103.7469737
183,250 BT BATOK EAST AVE 5 Singapore,1.3510145,103.7569391
184,164 BT BATOK ST 11 Singapore,1.3477341,103.74281
185,167 BT BATOK WEST AVE 8 Singapore,1.3469314,103.7422669
186,312 BT BATOK ST 32 Singapore,1.3599238,103.7475394
187,208 BT BATOK ST 21 Singapore,1.3458864,103.748852
188,534 BT BATOK ST 51 Singapore,1.3559677,103.7505944
189,311 BT BATOK ST 32 Singapore,1.3602311,103.748241
190,319 BT BATOK ST 33 Singapore,1.3611948,103.7463401
191,417 BT BATOK WEST AVE 4 Singapore,1.3628802,103.7463401
192,307 BT BATOK ST 31 Singapore,1.3581784,103.748422
193,138 BT BATOK WEST AVE 6 Singapore,1.3502165,103.7442582
194,124 BT BATOK CTRL Singapore,1.3511517,103.7472453
195,291B BT BATOK ST 24 Singapore,1.3430456,103.7556637
196,288D BT BATOK ST 25 Singapore,1.3458092,103.7591036
197,113 BT BATOK WEST AVE 6 Singapore,1.3488194,103.7451634
198,186 BT BATOK WEST AVE 6 Singapore,1.3466393,103.7440689
199,386 BT BATOK WEST AVE 5 Singapore,1.3639067,103.7525406
200,337 BT BATOK ST 34 Singapore,1.363158,103.7489651
201,165 BT BATOK WEST AVE 8 Singapore,1.347373,103.7419048
202,290D BT BATOK EAST AVE 3 Singapore,1.3444996,103.7575647
203,131 BT BATOK WEST AVE 6 Singapore,1.3507911,103.7462496
204,291D BT BATOK ST 24 Singapore,1.3434866,103.7553921
205,291A BT BATOK ST 24 Singapore,1.3434108,103.7558447
206,384 BT BATOK WEST AVE 5 Singapore,1.3628829,103.7521786
207,207 BT BATOK ST 21 Singapore,1.3462316,103.7493272
208,193 BT BATOK WEST AVE 6 Singapore,1.3460215,103.7444619
209,243 BT BATOK EAST AVE 5 Singapore,1.3497263,103.7562294
210,388 BT BATOK WEST AVE 5 Singapore,1.3648491,103.7520816
211,102 BT BATOK WEST AVE 6 Singapore,1.347707,103.7475168
212,623 BT BATOK CTRL Singapore,1.3508646,103.7493951
213,621 BT BATOK CTRL Singapore,1.3501815,103.7482101
214,622 BT BATOK CTRL Singapore,1.3505957,103.7483767
215,202 BT BATOK ST 21 Singapore,1.3463828,103.7485125
216,524 BT BATOK ST 52 Singapore,1.3569055,103.753129
217,28 JLN KLINIK Singapore,1.2879695,103.8281924
218,48 LOWER DELTA RD Singapore,1.2889321,103.8260187
219,116 BT MERAH VIEW Singapore,1.2851553,103.8213997
220,8 JLN BT HO SWEE Singapore,1.2875087,103.8321776
221,107 JLN BT MERAH Singapore,1.2799457,103.8247507
222,5 TELOK BLANGAH CRES Singapore,1.2788063,103.8192261
223,26 JLN KLINIK Singapore,1.288261,103.8283736
224,129 BT MERAH VIEW Singapore,1.2836058,103.8239356
225,130 BT MERAH VIEW Singapore,1.2850652,103.824479
226,60 TELOK BLANGAH HTS Singapore,1.2761395,103.8122527
227,130 KIM TIAN RD Singapore,1.2805057,103.8292793
228,128 BT MERAH VIEW Singapore,1.2826588,103.8233016
229,38 BEO CRES Singapore,1.2886331,103.8271961
230,11 CANTONMENT CL Singapore,1.2743997,103.8396276
231,77 TELOK BLANGAH DR Singapore,1.2739306,103.8089365
232,55 TELOK BLANGAH DR Singapore,1.2739474,103.8120715
233,26D JLN MEMBINA Singapore,1.2822288,103.8250451
234,26C JLN MEMBINA Singapore,1.282443,103.8255118
235,27 LIM LIAK ST Singapore,1.2854343,103.830541
236,29 LIM LIAK ST Singapore,1.2854721,103.830394
237,46 SENG POH RD Singapore,1.2840748,103.8315462
238,59 TELOK BLANGAH HTS Singapore,1.2754011,103.8136111
239,54 LENGKOK BAHRU Singapore,1.28912,103.813753
240,106A DEPOT RD Singapore,1.2806789,103.8110754
241,53 LENGKOK BAHRU Singapore,1.288837,103.8136449
242,14 TELOK BLANGAH CRES Singapore,1.2775026,103.8203355
243,54 TELOK BLANGAH DR Singapore,1.2735829,103.8118904
244,112B DEPOT RD Singapore,1.281697,103.807681
245,20 JLN MEMBINA Singapore,1.2857163,103.825747
246,120 KIM TIAN PL Singapore,1.2829258,103.8279207
247,70 REDHILL CL Singapore,1.2869521,103.8170676
248,68 REDHILL CL Singapore,1.2868666,103.8160563
249,69 REDHILL CL Singapore,1.2870113,103.816328
250,21 JLN MEMBINA Singapore,1.2851308,103.8258376
251,8A BOON TIONG RD Singapore,1.2864806,103.8300157
252,27A JLN MEMBINA Singapore,1.2822495,103.8246149
253,2A BOON TIONG RD Singapore,1.2865532,103.8330834
254,50 HOY FATT RD Singapore,1.2876985,103.8110754
255,106B DEPOT RD Singapore,1.2806808,103.8107131
256,95 HAVELOCK RD Singapore,1.2884916,103.8329475
257,82 REDHILL LANE Singapore,1.2874326,103.8194978
258,119B KIM TIAN RD Singapore,1.2811331,103.8274693
259,75C REDHILL RD Singapore,1.2890041,103.8163053
260,121 KIM TIAN PL Singapore,1.2827761,103.8285547
261,2C BOON TIONG RD Singapore,1.2869202,103.8328117
262,109 GANGSA RD Singapore,1.3774315,103.7677264
263,142 PETIR RD Singapore,1.3765519,103.7677264
264,251 BANGKIT RD Singapore,1.3803091,103.7738601
265,409 SAUJANA RD Singapore,1.3823247,103.7677038
266,208 PETIR RD Singapore,1.3739991,103.7749465
267,435 BT PANJANG RING RD Singapore,1.3859742,103.7704198
268,412 SAUJANA RD Singapore,1.3830364,103.7682244
269,466 SEGAR RD Singapore,1.3869107,103.7732263
270,140 PETIR RD Singapore,1.3754452,103.7689486
271,123 PENDING RD Singapore,1.3775423,103.7706914
272,402 FAJAR RD Singapore,1.3803433,103.7680659
273,207 PETIR RD Singapore,1.3736882,103.7748334
274,520 JELAPANG RD Singapore,1.3865844,103.7664364
275,523 JELAPANG RD Singapore,1.3874674,103.7658932
276,615 BT PANJANG RING RD Singapore,1.3852717,103.7621589
277,609 BT PANJANG RING RD Singapore,1.3829636,103.7619326
278,404 FAJAR RD Singapore,1.3809345,103.7672512
279,631 SENJA RD Singapore,1.3865839,103.7603257
280,629 SENJA RD Singapore,1.3865534,103.7592846
281,440 FAJAR RD Singapore,1.3835391,103.7699897
282,204 PETIR RD Singapore,1.3730489,103.7744938
283,506 JELAPANG RD Singapore,1.3870152,103.7679754
284,136 PETIR RD Singapore,1.3744755,103.7686997
285,652 SENJA LINK Singapore,1.3873342,103.76363
286,620 BT PANJANG RING RD Singapore,1.3858609,103.7617062
287,656 SENJA RD Singapore,1.38764,103.7646031
288,448 BT PANJANG RING RD Singapore,1.3837657,103.7719589
289,507 JELAPANG RD Singapore,1.386594,103.7679075
290,625 SENJA RD Singapore,1.3856672,103.760371
291,623 SENJA RD Singapore,1.3862425,103.762272
292,610 SENJA RD Singapore,1.3833896,103.7611857
293,611 BT PANJANG RING RD Singapore,1.3838263,103.7617289
294,627 SENJA RD Singapore,1.3856183,103.7591582
295,626 SENJA RD Singapore,1.3854703,103.7597445
296,608 SENJA RD Singapore,1.3829492,103.7612762
297,182 JELEBU RD Singapore,1.379934,103.763274
298,606 SENJA RD Singapore,1.3812614,103.7615478
299,478 SEGAR RD Singapore,1.3896256,103.7728642
300,470 SEGAR RD Singapore,1.3884504,103.7732263
301,124 PENDING RD Singapore,1.3768805,103.7710535
302,653 SENJA LINK Singapore,1.3869654,103.7639921
303,135 CASHEW RD Singapore,1.3740347,103.7688807
304,184 JELEBU RD Singapore,1.3797172,103.7623626
305,183 JELEBU RD Singapore,1.3799312,103.7633584
306,543 JELAPANG RD Singapore,1.3824745,103.76406
307,1 TOH YI DR Singapore,1.3395672,103.7747655
308,5 FARRER RD Singapore,1.3164599,103.8073178
309,34 UPP CROSS ST Singapore,1.2861551,103.8422545
310,3 TG PAGAR PLAZA Singapore,1.2756426,103.8424563
311,538 UPP CROSS ST Singapore,1.285205,103.845761
312,532 UPP CROSS ST Singapore,1.284274,103.8461122
313,53 CHIN SWEE RD Singapore,1.2877167,103.8413133
314,1A CANTONMENT RD Singapore,1.277898,103.840963
315,1F CANTONMENT RD Singapore,1.2761355,103.841191
316,1C CANTONMENT RD Singapore,1.2774176,103.8414964
317,1B CANTONMENT RD Singapore,1.27799,103.84122
318,1E CANTONMENT RD Singapore,1.276639,103.8411519
319,5 TECK WHYE AVE Singapore,1.3821154,103.7534911
320,15 TECK WHYE LANE Singapore,1.3791755,103.7547584
321,459 CHOA CHU KANG AVE 4 Singapore,1.3782829,103.7351391
322,206 CHOA CHU KANG CTRL Singapore,1.3806796,103.7483315
323,690A CHOA CHU KANG CRES Singapore,1.4028507,103.7517119
324,20 TECK WHYE LANE Singapore,1.3788186,103.753129
325,295 CHOA CHU KANG AVE 2 Singapore,1.3782547,103.7409943
326,110 TECK WHYE LANE Singapore,1.378239,103.7519523
327,409 CHOA CHU KANG AVE 3 Singapore,1.3805735,103.7414522
328,688A CHOA CHU KANG DR Singapore,1.4038586,103.7506084
329,485A CHOA CHU KANG AVE 5 Singapore,1.3746541,103.7382843
330,16 TECK WHYE LANE Singapore,1.3787335,103.7551205
331,103 TECK WHYE LANE Singapore,1.377103,103.753659
332,687A CHOA CHU KANG DR Singapore,1.4044936,103.7501072
333,407 CHOA CHU KANG AVE 3 Singapore,1.380392,103.740728
334,160 JLN TECK WHYE Singapore,1.3807787,103.7563879
335,686C CHOA CHU KANG CRES Singapore,1.4046133,103.7490296
336,670A CHOA CHU KANG CRES Singapore,1.4026106,103.7475168
337,114 TECK WHYE LANE Singapore,1.3785381,103.7509565
338,238 CHOA CHU KANG CTRL Singapore,1.3791929,103.7482069
339,202 CHOA CHU KANG AVE 1 Singapore,1.3819195,103.7494177
340,296A CHOA CHU KANG AVE 2 Singapore,1.3772033,103.7410902
341,616 CHOA CHU KANG ST 62 Singapore,1.3996206,103.7446203
342,155 JLN TECK WHYE Singapore,1.3788684,103.757112
343,402 CHOA CHU KANG AVE 3 Singapore,1.379211,103.7393931
344,422 CHOA CHU KANG AVE 4 Singapore,1.3823357,103.7409997
345,296 CHOA CHU KANG AVE 2 Singapore,1.3774069,103.7407508
346,226 CHOA CHU KANG CTRL Singapore,1.381292,103.745452
347,472 CHOA CHU KANG AVE 3 Singapore,1.3790563,103.7376507
348,673 CHOA CHU KANG CRES Singapore,1.4013604,103.7480599
349,410 CHOA CHU KANG AVE 3 Singapore,1.3806637,103.7415641
350,406 CHOA CHU KANG AVE 3 Singapore,1.3804327,103.7404566
351,788 CHOA CHU KANG NTH 6 Singapore,1.3958574,103.748422
352,631 CHOA CHU KANG NTH 6 Singapore,1.3966663,103.7480599
353,641 CHOA CHU KANG ST 64 Singapore,1.3983793,103.749825
354,765 CHOA CHU KANG NTH 5 Singapore,1.392842,103.7498703
355,473 CHOA CHU KANG AVE 3 Singapore,1.3794218,103.7378317
356,691B CHOA CHU KANG CRES Singapore,1.4015599,103.7514997
357,14 TECK WHYE LANE Singapore,1.3785104,103.7556637
358,689A CHOA CHU KANG DR Singapore,1.4029704,103.750465
359,760 CHOA CHU KANG NTH 5 Singapore,1.393151,103.7472453
360,102 TECK WHYE LANE Singapore,1.377069,103.754325
361,509 CHOA CHU KANG ST 51 Singapore,1.3880506,103.7417238
362,763 CHOA CHU KANG NTH 5 Singapore,1.3929654,103.7483098
363,503 CHOA CHU KANG ST 51 Singapore,1.3883947,103.7424253
364,474 CHOA CHU KANG AVE 3 Singapore,1.3787572,103.7386464
365,441 CHOA CHU KANG AVE 4 Singapore,1.3832415,103.7397099
366,502 CHOA CHU KANG ST 51 Singapore,1.3891221,103.7434209
367,471 CHOA CHU KANG AVE 3 Singapore,1.3788395,103.7371077
368,282 CHOA CHU KANG AVE 3 Singapore,1.3803429,103.7432625
369,287 CHOA CHU KANG AVE 2 Singapore,1.3793266,103.7415428
370,690B CHOA CHU KANG CRES Singapore,1.4031367,103.7519856
371,457 CHOA CHU KANG AVE 4 Singapore,1.3788465,103.735931
372,757 CHOA CHU KANG NTH 5 Singapore,1.3929385,103.745978
373,208 CHOA CHU KANG CTRL Singapore,1.3814866,103.748241
374,163 JLN TECK WHYE Singapore,1.3809949,103.7570215
375,604 CHOA CHU KANG ST 62 Singapore,1.3981521,103.7448918
376,513 WEST COAST RD Singapore,1.3086838,103.7601899
377,346 CLEMENTI AVE 5 Singapore,1.3171185,103.7699671
378,354 CLEMENTI AVE 2 Singapore,1.3135272,103.7708724
379,515 WEST COAST RD Singapore,1.3083936,103.7597373
380,703 WEST COAST RD Singapore,1.3067049,103.7607331
381,602 CLEMENTI WEST ST 1 Singapore,1.3051374,103.7662553
382,351 CLEMENTI AVE 2 Singapore,1.3153568,103.7708724
383,429 CLEMENTI AVE 3 Singapore,1.3129137,103.7628152
384,304 CLEMENTI AVE 4 Singapore,1.320917,103.7648521
385,307 CLEMENTI AVE 4 Singapore,1.3214534,103.7670701
386,308 CLEMENTI AVE 4 Singapore,1.3210521,103.7668438
387,374 CLEMENTI AVE 4 Singapore,1.3190389,103.766889
388,434 CLEMENTI AVE 3 Singapore,1.3146042,103.7615478
389,729 CLEMENTI WEST ST 2 Singapore,1.3050799,103.7634489
390,331 CLEMENTI AVE 2 Singapore,1.3140547,103.7681565
391,511 WEST COAST DR Singapore,1.3103659,103.760371
392,318 CLEMENTI AVE 4 Singapore,1.317986,103.7653953
393,605 CLEMENTI WEST ST 1 Singapore,1.3053474,103.7679754
394,342 CLEMENTI AVE 5 Singapore,1.3182164,103.7699671
395,43 CIRCUIT RD Singapore,1.326507,103.885514
396,109 ALJUNIED CRES Singapore,1.3194707,103.8844493
397,82 MACPHERSON LANE Singapore,1.3323419,103.8857179
398,58 CIRCUIT RD Singapore,1.3250205,103.8863521
399,61 CIRCUIT RD Singapore,1.3259021,103.8867935
400,20 BALAM RD Singapore,1.3308678,103.8875301
401,93 PAYA LEBAR WAY Singapore,1.322791,103.8879839
402,25 EUNOS CRES Singapore,1.3234649,103.9024818
403,23 BALAM RD Singapore,1.3310199,103.8865333
404,21 EUNOS CRES Singapore,1.3251067,103.9032521
405,9 HAIG RD Singapore,1.3144486,103.8960252
406,16 EUNOS CRES Singapore,1.3230877,103.9044755
407,102 ALJUNIED CRES Singapore,1.3205421,103.8825918
408,31 BALAM RD Singapore,1.3299263,103.8858085
409,126 GEYLANG EAST AVE 1 Singapore,1.3177979,103.8869245
410,45 SIMS DR Singapore,1.3174081,103.8783855
411,10 HAIG RD Singapore,1.3147422,103.8958439
412,22 HAIG RD Singapore,1.3137039,103.8951417
413,34 CASSIA CRES Singapore,1.3095945,103.8845399
414,34 EUNOS CRES Singapore,1.3209873,103.90076
415,44 SIMS DR Singapore,1.316366,103.8772007
416,352 UBI AVE 1 Singapore,1.3252748,103.899446
417,11 EUNOS CRES Singapore,1.3218445,103.9043849
418,11 HAIG RD Singapore,1.314701,103.8966595
419,67 CIRCUIT RD Singapore,1.3258892,103.8879831
420,28 CASSIA CRES Singapore,1.3090145,103.8836338
421,125 ALJUNIED RD Singapore,1.3233639,103.8817311
422,123 PAYA LEBAR WAY Singapore,1.3229161,103.8832714
423,6 HAIG RD Singapore,1.3131432,103.8972712
424,5 PINE CL Singapore,1.30719,103.882909
425,45 JLN TIGA Singapore,1.3086437,103.8845399
426,22 HOUGANG AVE 3 Singapore,1.3643086,103.8903391
427,2 HOUGANG AVE 3 Singapore,1.3631935,103.8931481
428,530 HOUGANG AVE 6 Singapore,1.3752792,103.8900899
429,307 HOUGANG AVE 5 Singapore,1.3666973,103.8951417
430,121 HOUGANG AVE 1 Singapore,1.3538563,103.8869864
431,309 HOUGANG AVE 5 Singapore,1.3661857,103.8949604
432,317 HOUGANG AVE 7 Singapore,1.3652988,103.8963197
